,Gross Domestic Product (GDP): sa
Region,South Korea
Subnational,
Frequency,"Annual, ending ""Dec"" of each year"
Unit,KRW bn
Source,The Bank of Korea
Status,Active
Series ID,354239147 (KAZAJKBAAAAAGD)
SR Code,SR7081025
Mnemonic,KR.GDP.NM.SA-KRW-BN-Q
Function Description,AGGREGATE(Yearly; December; Sum; No)
First Obs. Date,1960
Last Obs. Date,2019
Last Update Time,01/06/2020
Series remarks,
Suggestions,
Mean,510462.4400000002
Variance,374512227824.77423
Standard Deviation,611974.0417899882
Skewness,1.0002480479295706
Kurtosis,-0.34726232097090204
Coefficient Variation,1.1988620392716611
Min,249.9
Max,1919039.9
Median,183179
No. of Obs,60
1960,249.9
1961,301.7
1962,365.9
1963,518.6
1964,739.7
1965,831.5
1966,1066.1
1967,1313.6
1968,1693
1969,2212.7
1970,2796.6
1971,3438
1972,4267.6
1973,5527.3
1974,7905
1975,10543.6
1976,14472.8
1977,18608.1
1978,25154.5
1979,32402.3
1980,39725.1
1981,49669.7
1982,57286.5
1983,68080.1
1984,78591.3
1985,88129.6
1986,102985.8
1987,121697.9
1988,145994.7
1989,165801.9
1990,200556.1
1991,242481
1992,277540.7
1993,315181.3
1994,372493.3
1995,436988.8
1996,490850.9
1997,542001.8
1998,537215.3
1999,591452.9
2000,651634.4
2001,707021.2
2002,784741.3
2003,837365.1
2004,908439.3
2005,957447.7
2006,1005601.4
2007,1089660.2
2008,1154216.5
2009,1205347.8
2010,1322611.2
2011,1388937.2
2012,1440111.3
2013,1500819
2014,1562928.8
2015,1658020.4
2016,1740779.6
2017,1835698.2
2018,1898192.7
2019,1919039.9