,GDP Deflator: Gross Domestic Product
Region,South Korea
Subnational,
Frequency,"Annual, ending ""Dec"" of each year"
Unit,2015=100
Source,The Bank of Korea
Status,Active
Series ID,401451887 (KAZAJKBAAAARNW)
SR Code,SR126744637
Mnemonic,
Function Description,AGGREGATE(Yearly; December; Avg; No)
First Obs. Date,1960
Last Obs. Date,2019
Last Update Time,01/06/2020
Series remarks,
Suggestions,
Mean,47.21758333333334
Variance,1343.0639863827682
Standard Deviation,36.64783740390104
Skewness,0.12183220230103385
Kurtosis,-1.5260815836270356
Coefficient Variation,0.7761480960426332
Min,0.8572500000000001
Max,104.7795
Median,42.100750000000005
No. of Obs,60
1960,0.85725
1961,0.9695
1962,1.129
1963,1.464
1964,1.91
1965,2.0055
1966,2.29225
1967,2.58775
1968,2.9525
1969,3.357
1970,3.87125
1971,4.30375
1972,4.98075
1973,5.6105
1974,7.31825
1975,9.072
1976,11.01875
1977,12.61625
1978,15.3335
1979,18.192
1980,22.6615
1981,26.4755
1982,28.234
1983,29.58625
1984,30.8455
1985,32.073
1986,33.69225
1987,35.26725
1988,37.7875
1989,40.0895
1990,44.112
1991,48.1435
1992,51.919
1993,55.16375
1994,59.65825
1995,63.862
1996,66.508
1997,69.1345
1998,72.3465
1999,71.3745
2000,72.11825
2001,74.645
2002,76.88775
2003,79.5355
2004,82.02275
2005,82.88775
2006,82.6945
2007,84.681
2008,87.0725
2009,90.2165
2010,92.69375
2011,93.87725
2012,95.08325
2013,96.05475
2014,96.92625
2015,100.02225
2016,102.0025
2017,104.26
2018,104.7795
2019,103.818