,GDP: GCF: Gross Fixed Capital Formation (GFCF)
Region,South Korea
Subnational,
Frequency,"Annual, ending ""Dec"" of each year"
Unit,KRW bn
Source,The Bank of Korea
Status,Active
Series ID,354238837 (KAZAJKBAAAAAEY)
SR Code,SR7081091
Mnemonic,KR.GDPGCFFIX.NM.KRW-BN-Q
Function Description,AGGREGATE(Yearly; December; Avg; No)
First Obs. Date,1960
Last Obs. Date,2019
Last Update Time,01/06/2020
Series remarks,
Suggestions,
Mean,39374.22791666668
Variance,2109687492.7566547
Standard Deviation,45931.33454142885
Skewness,0.9449205692058593
Kurtosis,-0.39376653362272984
Coefficient Variation,1.166532957513222
Min,7
Max,144614.22499999998
Median,16131.587500000001
No. of Obs,60
1960,7
1961,8.85
1962,12.65
1963,17.55
1964,21.425
1965,31.7
1966,54.325
1967,72.575
1968,110.275
1969,147.2
1970,180.725
1971,200.775
1972,228.925
1973,336.1
1974,537.775
1975,717.825
1976,954.725
1977,1362.825
1978,2108.825
1979,2792.6
1980,3264.8
1981,3606.825
1982,4253.775
1983,5152.975
1984,5837
1985,6499.925
1986,7570.45
1987,9196.05
1988,11181.175
1989,13544.65
1990,18718.525
1991,23619.825
1992,25677.725
1993,28695.95
1994,33901
1995,40550.25
1996,46014.425
1997,48303.05
1998,41321.6
1999,44348.5
2000,51723.8
2001,54356.575
2002,59600.175
2003,65449.125
2004,70476.45
2005,72949.975
2006,76660.625
2007,82142.9
2008,89439.875
2009,93013.925
2010,99946.475
2011,104706.175
2012,106403.45
2013,109157
2014,113147.525
2015,120250.425
2016,129337.475
2017,144614.225
2018,144146.775
2019,143767.6