,Employed Persons: Annual: South Korea
Region,South Korea
Subnational,
Frequency,"Annual, ending ""Dec"" of each year"
Unit,Person
Source,CEIC Data
Status,Active
Series ID,384052887
SR Code,SR102254547
Mnemonic,
Function Description,
First Obs. Date,1982
Last Obs. Date,2019
Last Update Time,19/02/2020
Series remarks,1. CEIC calculates annual Employed Persons from monthly Employed Persons.
2. Statistics Korea provides Employed Persons.
Suggestions,
Mean,20944736.842105262
Variance,16881736145092.459
Standard Deviation,4108738.996954231
Skewness,-0.4274986903188301
Kurtosis,-0.7563639230201868
Coefficient Variation,0.19617047604505694
Min,13059000
Max,27154000
Median,21374000
No. of Obs,38
1982,13059000
1983,13197000
1984,13641000
1985,13937000
1986,14784000
1987,15665000
1988,16107000
1989,17089000
1990,17737000
1991,18398000
1992,18560000
1993,19243000
1994,19712000
1995,20279000
1996,20868000
1997,20882000
1998,19599000
1999,20673000
2000,21071000
2001,21677000
2002,22120000
2003,22188000
2004,22598000
2005,22685000
2006,23095000
2007,23432000
2008,23441000
2009,23406000
2010,23931000
2011,24421000
2012,24637000
2013,25248000
2014,25679000
2015,26098000
2016,26347000
2017,26604000
2018,26638000
2019,27154000