,KR: Hours Worked: Annual Growth
Region,South Korea
Subnational,
Frequency,"Annual, ending ""Dec"" of each year"
Unit,%
Source,Organisation for Economic Co-operation and Development
Status,Active
Series ID,295762002
SR Code,SR5794679
Mnemonic,
Function Description,
First Obs. Date,1971
Last Obs. Date,2018
Last Update Time,30/06/2020
Series remarks,
Suggestions,
Mean,1.4095812500000002
Variance,7.411577699065852
Standard Deviation,2.72242129345659
Skewness,-1.2435327298797503
Kurtosis,4.038024135194218
Coefficient Variation,1.931368832734253
Min,-9.462786
Max,5.953487
Median,1.4803975
No. of Obs,48
1971,3.214089
1972,4.143741
1973,5.214682
1974,4.16903
1975,2.15914
1976,5.953487
1977,3.017877
1978,4.47285
1979,1.216293
1980,0.387876
1981,3.057376
1982,3.001535
1983,1.503922
1984,-0.660647
1985,2.857156
1986,4.616021
1987,4.352415
1988,1.501557
1989,0.312956
1990,0.953336
1991,2.359377
1992,1.101005
1993,1.842265
1994,2.595118
1995,3.176202
1996,1.737693
1997,-0.380027
1998,-9.462786
1999,2.068493
2000,4.961873
2001,1.459238
2002,1.316333
2003,-1.777486
2004,0.646657
2005,-0.377802
2006,1.056959
2007,-0.496761
2008,-2.028791
2009,-0.904212
2010,-0.685824
2011,-2.776814
2012,5.362865
2013,-2.354053
2014,4.324796
2015,1.423967
2016,0.157476
2017,-1.25127
2018,-0.879283